transaction_date,description,amount,inst_total,inst_num,inst_amount,memo
2025-12-01,アフラック（ＷＥＢ）,2345,,,,
2025-12-03,ネツトフリツクス,2290,,,,
2025-12-03,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ,1200,,,,
2025-12-05,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ,450,,,,
2025-12-05,トウキヨウカイジヨウニチドウカサイホ,7480,,,,
2025-12-06,ｅｎｏｃｈｅ,14960,,,,
2025-12-07,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,4290,,,,
2025-12-09,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,1180,,,,
2025-12-11,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,2052,,,,
2025-12-11,コナミスポーツクラブ（会費）,8030,,,,
2025-12-11,コナミスポーツクラブ（会費）,8030,,,,
2025-12-11,大阪ガス利用料金,11924,,,,２５年１２月　４３７６０５０１４１５７１
2025-12-14,ソウカガツカイ,50000,,,,
2025-12-16,スマ―トイ―エツクス　ジエイア―ルニシ,14330,,,,
2025-12-16,スマ―トイ―エツクス　ジエイア―ルニシ,14530,,,,
2025-12-17,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,2021,,,,
2025-12-17,スマ―トイ―エツクス　ジエイア―ルニシ,14650,,,,
2025-12-17,スマ―トイ―エツクス　ジエイア―ルニシ,-14650,,,,返品
2025-12-19,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ,420,,,,
2025-12-19,セルフ　タマツインタ―エスエス,4354,,,,
2025-12-19,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,6360,,,,
2025-12-21,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,749,,,,
2025-12-24,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,659,,,,
2025-12-26,アカシシスイドウリヨウキン,6404,,,,
2025-12-26,ＧＯＯＧＬＥ　ＧＯＯＧＬＥ　ＯＮＥ,14500,,,,
2025-12-27,ジュンク堂書店　明石店／ＮＦＣ,2992,,,,
2025-12-27,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ,4300,,,,
2025-12-28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,1180,,,,
2025-12-28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,4320,,,,
2025-12-28,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,3500,,,,
2025-12-29,ヨドバシカメラ　通信販売,9040,,,,
2025-12-29,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,1780,,,,
2025-12-31,Ａｍａｚｏｎふるさと納税,26000,,,,
2025-12-31,Ａｍａｚｏｎふるさと納税,20000,,,,
2025-12-31,セルフ　タマツインタ―エスエス,3935,,,,
2025-12-01,PADDLE.NET* CINDORIAPP (LONDON ),2950,,,,2950.00　JPY　1.0000　12 01
2025-12-01,GUMROAD* GUI RAMBO (BROOKLYN ),576,,,,3.63　USD　158.921　12 02
2025-11-04,ディノス　インターネット通販,17706,,,8853.0,
2025-12-20,メガネの三城,110000,,,55000.0,110000　0
2025-12-27,CMD-N STUDIOS/ANTINOTE (VANCOUVER ),798,,,,5.00　USD　159.642　12 28
2025-12-20,ＡＰＰＬＥ．ＣＯＭ／ＪＰ,9980,,,,
2025-12-01,セブン－イレブン／ｉＤ,514,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｳｴﾉｲ-ｽﾄﾀ/ID
2025-12-01,ベローチェ　上野三丁目店／ｉＤ,470,,,,
2025-12-01,日本コンラックス　自動販売機／ｉＤ,160,,,,
2025-12-01,ＴＨＥ　ＧＲＡＢＢＥＲ／ｉＤ,2200,,,,
2025-12-02,セブン－イレブン／ｉＤ,386,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｱｶｼｵｵｱｶｼ/ID
2025-12-02,万代明石硯町店／ｉＤ,2104,,,,
2025-12-02,ピオレ明石／ｉＤ,1628,,,,
2025-12-04,万代明石硯町店／ｉＤ,2975,,,,
2025-12-06,万代明石硯町店／ｉＤ,689,,,,
2025-12-07,ローソン／ｉＤ,605,,,,ﾛ-ｿﾝ ｱﾜｼﾞﾄｼﾏ/ID
2025-12-08,万代明石硯町店／ｉＤ,3654,,,,
2025-12-10,セブン－イレブン／ｉＤ,560,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｺｳﾍﾞｶﾝﾃﾞ/ID
2025-12-10,万代明石硯町店／ｉＤ,3282,,,,
2025-12-12,セリア　ミリオンタウン明石硯町店／ｉＤ,330,,,,
2025-12-13,ジュンク堂書店　明石店／ｉＤ,3300,,,,
2025-12-14,セブン－イレブン／ｉＤ,535,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｱｶｼﾀﾙﾔﾏﾁ/ID
2025-12-14,セブン－イレブン／ｉＤ,160,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｱｶｼﾀﾙﾔﾏﾁ/ID
2025-12-15,セブン－イレブン／ｉＤ,774,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｳｴﾉｲ-ｽﾄﾀ/ID
2025-12-16,ＪＲ－ＣｒｏｓｓＲＣＰ専門店／ｉＤ,849,,,,
2025-12-17,飲料自販機／ｉＤ,140,,,,
2025-12-17,ファミリーマート／ｉＤ,1369,,,,ﾌｱﾐﾘ-ﾏ-ﾄｳｴﾉﾛｸﾁﾖｳﾒ/ID
2025-12-17,ピオレ明石／ｉＤ,283,,,,
2025-12-17,日本コンラックス　自動販売機／ｉＤ,190,,,,
2025-12-18,セブン－イレブン／ｉＤ,319,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｱｶｼﾀﾙﾔﾏﾁ/ID
2025-12-18,ＢＲＥＡＤＭＡＮ　明石／ｉＤ,1900,,,,
2025-12-18,ＰＬＵＳＴＡ東京幹線７０７／ｉＤ,428,,,,
2025-12-19,飲料自販機／ｉＤ,90,,,,
2025-12-20,ダイソー／ｉＤ,330,,,,
2025-12-20,パントリ－　明石店／ｉＤ,622,,,,
2025-12-25,セブン－イレブン／ｉＤ,354,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｱｶｼﾀﾙﾔﾏﾁ/ID
2025-12-27,セブン－イレブン／ｉＤ,911,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｱｶｼﾀﾙﾔﾏﾁ/ID
2025-12-29,セブン－イレブン／ｉＤ,2331,,,,ｾﾌﾞﾝｲﾚﾌﾞﾝｱｶｼﾀﾙﾔﾏﾁ/ID
2025-12-29,ファミリーマート／ｉＤ,508,,,,ﾌｱﾐﾘ-ﾏ-ﾄｱｶｼｴｷﾐﾅﾐ/ID
2025-12-30,パントリ－　明石店／ｉＤ,2350,,,,
2025-12-30,ピオレ明石／ｉＤ,990,,,,
